Customer_ID,Name,Age,Gender,Location,Join_Date,Churn,Total_Spent
2038,Cassandra Gaines,23,Female,New York,2024-05-13,0,11149.42
2039,Elizabeth Fowler,40,Male,Austin,2022-04-17,1,1281.4
2040,Brittany Farmer,59,Male,New York,2022-05-21,1,1895.27
2041,Paula Moreno,19,Male,Houston,2023-05-22,0,6950.17
2042,Fred Smith,25,Male,San Diego,2022-09-16,0,9068.87
2043,Sherry Decker,28,Male,Chicago,2023-06-09,1,789.76
2044,Anthony Humphrey,19,Female,San Jose,2023-09-30,0,11239.02
2045,Angelica Tucker,63,Male,Los Angeles,2024-02-08,0,6430.57
2046,Philip Cannon,67,Female,Austin,2023-05-13,0,9853.35
2047,John Pierce,54,Male,Philadelphia,2022-09-05,1,1836.61
2048,Shane Henderson,41,Male,Dallas,2024-12-27,0,5073.87
2049,Joshua Blair,44,Female,Los Angeles,2023-11-30,0,7748.47
2050,Eric Carney,58,Female,Jacksonville,2024-06-06,1,95.73
2051,Jessica Holmes,64,Female,San Jose,2022-11-10,0,14106.77
2052,Danny Morgan,70,Female,Philadelphia,2024-09-17,0,4931.7
2053,Crystal Robinson,23,Female,San Diego,2023-05-18,1,904.53
2054,Mark Perez,54,Female,Philadelphia,2023-05-15,1,1584.49
2055,Shannon Jones,38,Male,San Diego,2022-02-28,0,6118.67
2056,Michael Lewis,34,Female,Phoenix,2023-03-11,0,10635.71
2057,Timothy Duncan,51,Male,Los Angeles,2023-07-20,0,12382.02
2058,Richard Aguirre,49,Male,Jacksonville,2023-05-10,1,5431.08
2059,Brent Jordan,49,Female,New York,2024-09-02,1,700.11
2060,John Daniel,43,Male,Phoenix,2022-07-10,0,10699.34
2061,Victoria Garcia,51,Female,San Antonio,2024-01-26,0,11386.47
2062,Gerald Hensley,47,Female,Phoenix,2023-11-09,0,10372.71
2063,Connor West,64,Male,Philadelphia,2023-05-30,0,3734.52
2064,Donald Wright,66,Male,Houston,2022-09-02,1,1932.03
2065,Jessica Callahan,35,Female,Los Angeles,2023-03-20,1,1325.8
2066,Amber Kidd,41,Male,Phoenix,2023-02-02,0,6216.16
2067,Tracy House,26,Female,New York,2022-01-29,1,1219.33
2068,Carol Tucker,62,Male,Austin,2022-04-22,0,11474.7
2069,James Brown,18,Female,San Diego,2024-10-02,0,9439.09
2070,William Baker,29,Male,Phoenix,2024-09-07,0,7076.31
2071,Jordan Henderson,22,Female,San Diego,2024-09-05,0,9168.96
2072,Whitney Peters,61,Male,Chicago,2022-06-01,0,7063.8
2073,Brittney Phillips,37,Male,Houston,2022-11-02,1,210.88
2074,Lauren Daniels,44,Male,Dallas,2022-08-31,0,9156.04
2075,Amy Silva,46,Female,San Jose,2024-02-19,0,10573.87
2076,Sarah Moore,57,Male,San Jose,2024-05-28,0,7942.77
2077,Angela Lopez,31,Male,Phoenix,2022-07-23,1,199.91
2078,Megan Young,29,Male,Chicago,2022-06-16,0,8920.59
2079,Steve Sanchez,62,Female,Phoenix,2022-01-06,0,6699.01
2080,Lisa Barnes,63,Female,Jacksonville,2022-03-08,0,9491.7
2081,Kelly Donovan,32,Female,Austin,2024-07-18,0,8922.63
2082,Mike Allen,52,Male,Austin,2023-02-10,0,7622.38
2083,Michael Evans,70,Male,Los Angeles,2022-11-02,1,1992.5
2084,Paul Jones,37,Female,San Diego,2022-05-03,0,8219.62
2085,Zachary Ferrell,37,Female,Phoenix,2022-09-12,0,7826.76
2086,Daniel Baker,46,Male,San Jose,2024-10-21,0,7101.09
2087,Shirley Suarez,65,Female,San Jose,2022-03-23,1,930.58
2088,Christopher Bass,32,Male,Austin,2023-05-28,0,11265.46
2089,Lisa Archer,66,Male,San Diego,2023-07-06,0,7039.29
2090,Aimee Montoya,35,Male,San Jose,2024-11-28,1,2561.99
2091,Matthew Mcmillan,49,Male,San Diego,2024-06-11,1,1790.46
2092,Brian Rodriguez,38,Male,Chicago,2023-12-14,0,7122.17
2093,Denise Jacobs,49,Female,Austin,2023-11-07,0,10705.57
2094,Christina Walters,53,Male,San Diego,2024-03-31,1,483.93
2095,John Whitehead,38,Male,San Antonio,2022-06-30,0,8593.31
2096,Anna Henderson,18,Female,San Antonio,2024-11-19,1,496.19
2097,Aaron Wise,41,Female,Austin,2022-04-22,0,9135.61
2098,Deborah Figueroa,31,Female,Dallas,2024-06-24,1,2365.01
2099,Jessica Smith,46,Female,Los Angeles,2022-09-26,1,372.24
2100,Stephen Mckee,56,Male,Jacksonville,2022-03-01,1,507.5
2101,Sandra Aguilar,18,Female,Los Angeles,2022-11-21,0,5137.18
2102,Cameron Parker,25,Female,Los Angeles,2023-04-06,1,1058.31
2103,Rebecca Valencia,63,Female,Dallas,2022-11-12,0,7094.54
2104,Christine Wright,48,Female,Houston,2023-07-14,0,7913.43
2105,Richard Henson,42,Male,San Jose,2024-07-24,0,11798.05
2106,Marc Moore,26,Male,Phoenix,2024-11-06,1,2445.22
2107,Sharon Cherry,68,Female,New York,2024-04-29,0,5258.64
2108,Sierra Johnson,55,Female,Chicago,2023-08-03,1,2176.53
2109,Evelyn Galvan,40,Female,Dallas,2024-07-03,0,11241.81
2110,Sharon Cochran,38,Male,Jacksonville,2024-02-12,0,5556.31
2111,Richard Rodriguez,32,Female,New York,2023-05-05,0,10970.61
2112,Shannon Walker,63,Female,San Antonio,2023-10-14,1,1288.91
2113,Julia Torres,20,Male,Dallas,2022-11-08,0,7396.66
2114,Crystal Johnson,46,Male,Dallas,2023-11-11,1,1546.66
2115,Garrett Lin,27,Female,Austin,2024-07-24,0,10150.13
2116,Diana May,68,Female,Philadelphia,2022-11-13,0,10263.5
2117,William Herrera,39,Female,Philadelphia,2024-03-25,1,1061.29
2118,Ashley Waller,20,Male,Houston,2024-09-26,1,1009.66
2119,Victor Baker,65,Male,San Antonio,2023-08-12,1,729.43
2120,Jeffrey Chandler,63,Male,San Diego,2022-07-21,1,2053.83
2121,Larry Dixon,19,Male,Philadelphia,2022-12-07,1,1418.27
2122,Kenneth Scott,41,Female,Chicago,2022-04-25,0,11761.06
2123,April Frost,54,Male,Chicago,2023-05-16,0,8695.7
2124,Michelle Harmon,42,Male,San Diego,2022-12-25,0,9989.44
2125,Helen Jones,58,Female,San Diego,2022-10-21,0,7639.29
2126,Erin Edwards,69,Female,Phoenix,2023-06-07,1,306.99
2127,Michelle Evans,40,Female,Austin,2022-11-20,0,9086.89
2128,Jason Powell,47,Female,Houston,2024-05-18,1,710.09
2129,Cameron Fisher,24,Male,San Antonio,2024-02-27,1,1026.95
2130,Megan Orr,62,Female,New York,2024-01-06,0,11269.57
2131,Elizabeth Kelley,54,Male,San Jose,2024-03-21,0,4704.41
2132,Dustin Jordan,36,Male,San Jose,2024-10-14,1,1315.22
2133,Mary Marshall,30,Female,Austin,2023-12-23,0,4666.01
2134,Daniel Kennedy,58,Male,Phoenix,2022-10-08,1,1489.37
2135,Rebecca Jackson,41,Male,Los Angeles,2024-06-21,0,9712.45
2136,Jose Schultz,44,Male,Houston,2023-08-28,0,5673.88
2137,Robert Potter,41,Female,Chicago,2022-09-28,1,1048.51
2138,Courtney Gonzalez,48,Female,Jacksonville,2023-06-11,1,566.54
2139,David Alvarez,47,Male,Chicago,2023-11-25,1,999.0
2140,Angel Perry,64,Female,Dallas,2023-04-08,1,819.48
2141,Cheyenne Horton,43,Male,Phoenix,2024-01-20,0,2838.82
2142,David Douglas Jr.,61,Female,San Jose,2022-09-11,0,8189.38
2143,Patricia Rodriguez,41,Male,Austin,2024-02-20,1,668.94
2144,Christopher Rubio,57,Female,San Jose,2023-04-24,0,11266.26
2145,Amber Wright,58,Female,Jacksonville,2023-03-30,1,1618.43
2146,Joyce Solis,25,Male,New York,2023-09-11,1,1387.29
2147,Victoria Larson,49,Male,Los Angeles,2022-03-18,0,15547.29
2148,Stephanie Salazar,26,Female,San Diego,2023-04-26,1,483.45
2149,Kathy Rivas,65,Female,San Jose,2024-01-30,1,1331.4
2150,Stephanie Manning,59,Male,San Diego,2022-11-13,1,643.87
2151,David Wright,35,Male,Jacksonville,2024-04-15,1,1011.93
2152,Pamela Boyd,46,Male,Philadelphia,2024-01-29,0,11797.92
2153,Denise Jones,41,Female,New York,2022-07-23,1,978.06
2154,Devon Flores,25,Female,Los Angeles,2024-03-26,0,9865.14
2155,Brenda Hall,56,Male,New York,2023-03-11,1,3531.74
2156,Michelle Brown,26,Male,Los Angeles,2023-11-15,0,6847.1
2157,Joshua Perry,70,Male,Philadelphia,2023-03-01,0,7648.56
2158,Jason Stein,56,Male,Phoenix,2022-10-30,1,1897.13
2159,Melissa Gates,52,Female,Chicago,2022-10-24,1,993.9
2160,Jamie Smith,19,Male,New York,2022-08-14,1,1080.27
2161,Paul Castaneda,33,Female,New York,2024-01-04,1,2286.64
2162,Jennifer Adkins,26,Female,Dallas,2022-12-23,0,7352.1
2163,Lindsey Walker,48,Female,Philadelphia,2022-08-21,1,2120.22
2164,Jeffrey Johnson,46,Male,San Jose,2024-11-17,0,8283.83
2165,Michael Powell,60,Female,San Diego,2022-03-30,1,2238.11
2166,John Anderson,48,Female,San Antonio,2022-03-05,0,4710.76
2167,Alyssa Long,46,Male,Los Angeles,2022-08-10,0,7315.34
2168,Alyssa Day,22,Male,Phoenix,2023-10-22,1,896.94
2169,Joel Williams,56,Female,San Diego,2023-10-28,0,9706.04
2170,Daniel Murphy,24,Male,Austin,2024-11-01,1,2395.79
2171,Jamie Walton,32,Female,Philadelphia,2023-03-17,0,12552.25
2172,Darlene Miller,64,Male,Philadelphia,2024-07-17,0,6215.07
2173,Joshua Cooke,34,Female,Chicago,2024-05-24,0,13556.94
2174,Matthew Harrington,23,Male,San Antonio,2024-08-29,0,5682.85
2175,Nicole Herring,41,Male,Dallas,2022-07-17,1,3861.22
2176,Alex Hernandez,53,Female,Austin,2022-05-03,0,3792.47
2177,Michael Elliott,60,Female,Jacksonville,2022-09-08,0,7477.88
2178,Michael Wang,56,Female,Philadelphia,2022-04-16,1,1741.94
2179,Lawrence Adkins,31,Male,Austin,2022-08-01,0,9691.28
2180,Robert Oconnell,24,Female,Dallas,2024-09-14,0,3844.55
2181,Alexander Collins,35,Male,San Antonio,2024-01-23,0,6950.71
2182,Tina Sanders,60,Female,New York,2022-02-23,1,2430.15
2183,Angela Vaughn,66,Female,Philadelphia,2023-01-05,0,11062.31
2184,Ashley Barton,27,Female,Los Angeles,2023-12-20,0,9843.63
2185,Lindsay Martinez,19,Male,Jacksonville,2022-10-18,1,2153.31
2186,Dr. Hannah Patterson,44,Female,Philadelphia,2024-12-22,0,10125.4
2187,Jonathan Peterson,64,Female,San Jose,2022-11-19,0,13195.53
2188,Samantha Garcia,27,Male,San Jose,2022-06-23,1,1332.65
2189,Madison Poole,35,Female,Austin,2022-04-12,1,1341.2
2190,Jessica Gross,46,Female,Phoenix,2024-05-18,0,14743.21
2191,Debra Morton,25,Female,San Antonio,2023-03-18,1,3084.62
2192,Karen Graham,61,Female,Dallas,2022-08-16,0,6860.13
2193,Debra Christian,43,Male,New York,2023-09-24,0,7381.8
2194,Angelica Keith,31,Male,Phoenix,2023-02-23,0,9181.73
2195,John Bishop,18,Female,Jacksonville,2023-08-16,0,7850.19
2196,Allen Rosales,42,Male,Dallas,2024-05-31,0,9948.13
2197,Daniel Salinas,65,Male,San Antonio,2023-12-27,0,6361.83
2198,Spencer Haynes,22,Female,San Jose,2022-02-08,0,3331.33
2199,Adam Vaughan,63,Female,Phoenix,2024-05-29,0,4296.78
2200,Nathan Freeman,38,Male,San Jose,2022-08-24,0,13972.74
2201,Melissa Brewer,41,Male,San Antonio,2024-07-31,1,80.08
2202,Ricky Davis II,55,Female,Dallas,2022-08-05,0,10151.14
2203,Elizabeth Perkins,37,Female,Houston,2022-06-11,0,10405.89
2204,Joseph Coleman,22,Male,Dallas,2023-11-14,1,2512.22
2205,Erin Warner,67,Female,Philadelphia,2024-11-10,0,9219.71
2206,David Martinez,27,Female,Houston,2022-10-30,0,4783.39
2207,Bryan Herrera,66,Male,Chicago,2022-12-22,1,1396.44
2208,Cathy Robinson,54,Female,Austin,2024-10-08,0,11498.82
2209,Dr. William Warren,58,Female,Chicago,2023-10-24,1,1136.96
2210,Brian Lee,46,Female,Phoenix,2024-06-19,0,8993.78
2211,Christopher Smith,22,Female,San Diego,2022-04-26,0,5824.35
2212,Denise Mccann,41,Female,Los Angeles,2024-07-14,0,12846.96
2213,Melissa Martinez,50,Female,San Diego,2022-07-04,1,1080.61
2214,Katherine Salas,69,Male,Philadelphia,2022-03-26,0,5936.03
2215,Julie Alexander,21,Female,Los Angeles,2024-09-01,0,3541.53
2216,Anthony Everett,23,Male,New York,2023-12-05,1,932.92
2217,Rodney Morales,46,Male,Philadelphia,2023-05-23,1,3466.53
2218,Mark Brown,42,Female,Philadelphia,2024-02-03,1,808.5
2219,Justin Torres,59,Female,Los Angeles,2022-04-18,1,3065.48
2220,Bailey Duran DDS,61,Female,Phoenix,2023-11-07,0,6861.16
2221,Courtney Mills,60,Male,Philadelphia,2023-06-01,1,1371.75
2222,Jeremy Dalton,27,Female,Phoenix,2022-06-16,0,3848.47
2223,Elizabeth Oliver DDS,63,Male,Phoenix,2024-03-13,0,8731.5
2224,Theresa Clark,39,Male,Austin,2024-02-11,1,2076.84
2225,Matthew Moore,60,Female,Dallas,2024-12-14,0,10707.72
2226,Benjamin Smith,37,Male,Houston,2024-01-12,0,6776.82
2227,Kirk Carter,49,Male,Houston,2023-12-01,1,365.5
2228,Michael Warner,36,Male,Dallas,2022-10-09,0,8575.74
2229,Michael Bradshaw,39,Male,San Jose,2024-12-14,0,6712.69
2230,Lori Guerrero,29,Male,Jacksonville,2024-02-11,0,4909.34
2231,Jessica Stephens,41,Male,San Diego,2024-06-15,0,6875.16
2232,Susan Serrano,68,Female,Houston,2023-08-07,1,1459.29
2233,Christopher Parker,69,Female,Houston,2024-12-29,0,11210.56
2234,Laura Roberts,54,Female,San Diego,2024-01-24,1,1017.81
2235,Michael Lyons,50,Female,Chicago,2023-08-01,1,1264.31
2236,Kathryn Snyder,26,Female,New York,2023-02-13,1,530.48
2237,Andrew Reynolds,53,Male,Jacksonville,2024-09-11,1,1729.05
2238,David Davis,36,Male,Chicago,2024-11-22,1,1140.39
2239,Sara Johnston,50,Male,San Antonio,2023-07-13,0,9316.06
2240,Yvonne Chambers,32,Female,Philadelphia,2022-07-07,1,835.49
2241,Andrew Avila,43,Female,Houston,2022-02-24,0,6867.3
2242,Matthew Moon,41,Male,New York,2024-03-01,1,1997.23
2243,Kevin Walters,63,Female,Chicago,2023-10-15,1,720.41
2244,Brandon Bailey MD,48,Male,Jacksonville,2022-10-09,0,7566.6
2245,Shannon Rivera,18,Male,New York,2024-08-18,0,8701.32
2246,Donna Landry,27,Female,Los Angeles,2023-06-09,0,3764.38
2247,Krista Gibson,25,Male,Houston,2023-08-14,0,9331.28
2248,Frank Cordova,57,Female,Los Angeles,2024-05-09,1,2522.76
2249,Jose Travis,49,Male,Austin,2022-08-16,1,589.51
2250,Kimberly Gutierrez,63,Male,Phoenix,2024-11-21,0,6924.56
2251,Isaiah Avila,40,Male,San Jose,2024-05-29,0,10547.47
2252,Olivia Harris,60,Male,Dallas,2024-05-03,0,19811.53
2253,Tanya Kim,51,Male,San Antonio,2024-01-09,0,14833.39
2254,Barbara Dudley,42,Female,Phoenix,2024-08-20,0,11681.52
2255,Cynthia Moore,22,Female,Houston,2022-02-03,0,11503.72
2256,Kristen Davis,65,Female,Chicago,2022-08-01,1,894.25
2257,Susan Murray MD,39,Male,Austin,2022-04-01,0,10501.28
2258,Kathleen Moran,48,Male,Chicago,2024-08-09,1,508.41
2259,Denise Davenport,47,Male,Phoenix,2022-05-10,1,2359.64
2260,Mrs. Kristen Reyes,30,Male,Philadelphia,2023-02-17,0,10511.68
2261,Katie Suarez,70,Female,Phoenix,2023-09-28,0,11042.4
2262,Desiree Tyler,30,Female,Philadelphia,2022-03-16,1,985.06
2263,Timothy Romero,39,Female,Los Angeles,2022-04-08,1,205.54
2264,Diane Evans,43,Female,San Antonio,2024-01-24,0,7390.36
2265,Yvonne Burns,49,Female,Philadelphia,2023-11-26,1,382.43
2266,Joshua Reed,23,Female,Los Angeles,2024-11-29,0,14775.63
2267,Kimberly Gibson,70,Male,Dallas,2024-05-31,1,426.19
2268,Colin Terry,23,Female,Austin,2023-08-25,0,4113.25
2269,Cynthia Rowe,56,Female,Chicago,2023-08-29,0,7311.27
2270,Patrick Thornton,20,Female,San Jose,2024-06-28,0,10796.65
2271,Jasmin Alvarado,68,Male,Los Angeles,2024-06-09,0,8810.37
2272,Veronica Simpson,69,Male,New York,2024-04-11,0,9999.5
2273,Jonathan Lawrence,61,Female,New York,2022-10-20,1,703.7
2274,Shelly Alexander,67,Female,Philadelphia,2022-09-16,0,12416.85
2275,Joyce Bowen,20,Male,Austin,2024-02-24,1,1395.4
2276,Matthew Moore,41,Female,Los Angeles,2024-07-10,1,407.31
2277,Wayne Morgan,43,Female,Austin,2022-10-09,0,7445.4
2278,Marie Christian,25,Male,Jacksonville,2023-07-25,0,5483.43
2279,Shannon James,42,Male,Phoenix,2023-01-17,0,11440.86
2280,Nathan Malone,31,Female,Jacksonville,2023-06-18,1,2453.44
2281,Amanda Jones,26,Male,San Diego,2024-10-02,0,13907.85
2282,Tammie Bright,46,Male,Austin,2022-12-20,1,1338.66
2283,Jessica Garcia,63,Male,Dallas,2023-10-17,1,1052.6
2284,Shelia Wallace,28,Male,Philadelphia,2023-08-18,1,674.5
2285,Stephanie Williams,30,Male,Houston,2024-11-07,0,7948.68
2286,Elaine Brooks,53,Female,San Diego,2024-10-08,0,12375.71
2287,Joseph Knight,23,Male,Phoenix,2022-09-23,1,705.36
2288,Carolyn Miller,64,Female,Dallas,2024-03-26,1,239.54
2289,Lisa Allen,70,Male,Chicago,2024-04-21,1,1900.82
2290,Briana Murray,46,Female,Austin,2023-10-12,1,3595.54
2291,David Smith,67,Male,Chicago,2024-11-25,0,9986.74
2292,Stephanie Byrd,21,Male,Dallas,2024-06-05,0,4242.88
2293,Jeremy Reed,28,Female,Jacksonville,2022-11-10,0,6730.28
2294,Margaret Coleman,51,Female,Los Angeles,2023-04-07,0,4348.77
2295,Ryan Gonzalez,53,Female,Chicago,2023-05-29,0,9667.77
2296,John Young,23,Male,San Jose,2023-09-13,1,1675.45
2297,Laura Haney,57,Female,San Jose,2022-11-12,0,6370.26
2298,William Barrett,19,Male,New York,2022-03-26,1,798.4
2299,Keith Jennings,67,Female,San Jose,2023-06-27,1,1038.08
2300,Amber Obrien,58,Female,Austin,2022-03-04,0,7051.17
2301,Tanner Mitchell DDS,69,Female,Phoenix,2023-09-11,0,4449.13
2302,Heather Fields,21,Male,San Diego,2024-07-17,0,8324.02
2303,Megan Le,31,Female,San Jose,2024-05-01,0,8929.8
2304,Sara Fuller,63,Female,Jacksonville,2022-10-22,0,11042.5
2305,Maria Parker,26,Female,Dallas,2023-12-09,1,365.66
2306,Kevin Oconnor,47,Male,Phoenix,2022-08-06,0,6886.62
2307,Edward Burgess,24,Male,Phoenix,2024-07-09,0,9741.34
2308,Carlos Ryan,44,Male,Chicago,2024-02-26,1,1419.14
2309,Kiara Mcintyre,64,Female,Houston,2023-11-02,1,173.85
2310,Dawn Summers,50,Female,San Diego,2022-11-23,0,5797.01
2311,Dr. Paul Morgan,23,Female,Dallas,2023-09-24,0,7098.51
2312,Victor Taylor,31,Female,New York,2024-07-25,1,360.34
2313,Shannon Ramsey,56,Female,Phoenix,2022-04-14,0,5161.91
2314,Tracy Ballard,45,Male,Phoenix,2022-01-17,1,796.5
2315,Richard Smith,41,Male,San Antonio,2024-01-20,1,1230.48
2316,Jordan Chambers,30,Female,Dallas,2022-04-15,0,6479.24
2317,Lauren Carson,50,Female,Dallas,2023-08-15,0,10139.86
2318,Ashley Hall,57,Male,Chicago,2023-07-27,1,409.78
2319,Stephen Hoffman,68,Female,Dallas,2022-07-18,0,6466.5
2320,Connie Brown,30,Female,Dallas,2024-01-19,1,2491.75
2321,Susan Turner,26,Female,San Diego,2022-03-24,0,8793.17
2322,Charles Shah,56,Male,Philadelphia,2024-11-29,0,8447.12
2323,Johnathan Davis,57,Female,San Jose,2023-10-15,0,8910.63
2324,Brandy Chavez,50,Female,Jacksonville,2023-11-20,0,11197.58
2325,Natalie Bautista,19,Female,Philadelphia,2023-09-06,0,6810.38
2326,Patrick Moore,55,Female,Jacksonville,2022-08-13,1,1264.38
2327,Brett Burns,34,Male,Jacksonville,2022-02-24,0,9363.44
2328,Trevor Johnson,28,Female,Chicago,2022-04-16,0,7032.55
2329,Jeremy Sampson,62,Male,Houston,2023-05-12,0,5184.93
2330,Ariana Jennings,44,Male,San Antonio,2022-02-08,0,8434.68
2331,Vanessa Howard,67,Female,Jacksonville,2023-02-22,0,7639.72
2332,Colton Martinez,51,Male,Dallas,2022-05-08,1,984.61
2333,Jordan Bates,48,Female,Philadelphia,2023-10-28,1,1887.6
2334,Linda Smith,52,Female,Dallas,2022-12-21,0,7218.77
2335,Dana Martinez,64,Female,San Jose,2023-12-27,1,1161.6
2336,Andrea Hubbard,33,Female,Dallas,2024-09-18,0,9095.11
2337,Daniel Kane,37,Female,Jacksonville,2023-09-04,0,9712.93
2338,Charles Lester,49,Female,San Diego,2023-03-01,1,2640.53
2339,Scott Thomas,68,Female,Phoenix,2023-12-16,0,12318.71
2340,David Thompson,52,Female,San Antonio,2022-09-07,0,8062.49
2341,Allison Smith,69,Male,Phoenix,2023-12-08,1,279.88
2342,Cynthia Morris,63,Male,Philadelphia,2022-03-28,0,7424.48
2343,Anthony Harmon,65,Female,Houston,2024-06-24,1,1792.15
2344,Nichole Alvarez,35,Female,Chicago,2023-02-18,1,1535.7
2345,Kayla Rodriguez,55,Male,Houston,2022-08-12,1,1574.42
2346,Theresa Williams,51,Male,Austin,2022-04-14,1,2855.4
2347,Sharon Boyd,44,Female,Jacksonville,2023-04-22,0,6828.5
2348,Victor Brown,67,Male,New York,2024-08-25,0,7655.99
2349,James Parks,48,Female,Austin,2022-11-20,0,8877.09
2350,Theodore Jones Jr.,36,Female,Phoenix,2023-02-13,1,3718.56
2351,Ana Hill,23,Male,Dallas,2022-05-02,1,1372.57
2352,Kimberly Nguyen,29,Female,Chicago,2022-03-18,1,856.56
2353,Kerry Chavez DDS,43,Female,Chicago,2022-03-16,1,1676.26
2354,Michael Farrell,18,Female,San Jose,2023-08-16,1,979.98
2355,Patricia Le,39,Female,San Diego,2022-08-08,1,979.43
2356,Jesse Perez,26,Female,Phoenix,2024-12-09,0,10227.75
2357,Jesse Perry,39,Male,Jacksonville,2023-01-30,1,361.21
2358,Jeffery Ortega,63,Male,New York,2024-07-28,1,1152.79
2359,Christian Leblanc,54,Male,Chicago,2023-11-22,1,2244.93
2360,Ronald Davis,50,Female,Los Angeles,2024-04-10,1,483.64
2361,Parker Cain,29,Male,San Diego,2024-03-31,1,1179.37
2362,Laurie Hoffman,18,Female,San Antonio,2023-10-25,1,1378.41
2363,Bryan Gomez,35,Female,Phoenix,2023-04-28,0,7755.36
2364,Nicole Parrish,41,Male,New York,2022-01-24,0,13006.54
2365,Tracy Burke,28,Female,Austin,2022-08-31,0,7820.85
2366,Kenneth Lewis,63,Female,Jacksonville,2024-10-26,1,1135.67
2367,Courtney Rodriguez,36,Female,San Jose,2022-08-29,1,1067.72
2368,Holly Farmer,26,Female,Chicago,2023-03-29,0,9067.04
2369,Renee Bruce,56,Female,San Antonio,2024-07-20,1,890.46
2370,Sabrina Austin,69,Male,Houston,2024-08-22,1,2821.53
2371,Allison Hickman,51,Female,Los Angeles,2022-06-17,0,5697.98
2372,Debra White,53,Male,San Jose,2022-08-18,0,4590.46
2373,Ellen Morgan,51,Female,Los Angeles,2022-11-03,0,8947.23
2374,Sergio Knight,49,Male,Dallas,2023-02-25,1,3754.99
2375,Charles Schultz,47,Male,Dallas,2024-07-01,1,981.41
2376,Paul Lewis,21,Female,Austin,2024-04-30,0,8747.61
2377,Glen Wood,43,Female,New York,2023-09-24,1,2214.37
2378,Paula Bradley,20,Female,Philadelphia,2023-03-23,0,7634.62
2379,Anthony Moore,21,Male,San Diego,2022-05-11,0,3535.35
2380,Megan Nelson,29,Male,Austin,2022-03-06,0,8951.75
2381,Karla Ramos,42,Female,San Antonio,2024-05-10,0,7951.83
2382,Paul Wilson,60,Male,Austin,2024-02-09,0,12472.16
2383,Douglas Gregory,52,Female,Dallas,2023-12-14,0,3823.87
2384,Mr. Andrew Foster,32,Male,New York,2022-09-18,1,989.7
2385,Aimee Turner,64,Female,Dallas,2023-09-04,0,6101.38
2386,Chad Scott,33,Female,Philadelphia,2024-02-16,1,742.34
2387,Adam Burgess,64,Male,New York,2022-11-14,0,11966.15
2388,James Padilla,19,Male,Houston,2024-05-08,1,2657.76
2389,Sandra Drake,20,Female,San Jose,2022-05-18,0,10806.08
2390,Scott Williams,20,Female,San Diego,2022-04-10,0,7993.01
2391,Thomas Atkins,66,Male,Chicago,2023-04-25,0,12927.85
