Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent
2079,Steve Sanchez,37,Female,San Diego,2023-05-14,6468.15
2080,Lisa Barnes,40,Female,Jacksonville,2024-12-23,8391.27
2081,Kelly Donovan,40,Female,Phoenix,2023-11-09,7874.92
2082,Mike Allen,34,Male,Los Angeles,2023-09-20,4092.22
2083,Michael Evans,38,Male,Jacksonville,2023-01-30,2018.72
2084,Paul Jones,30,Male,Jacksonville,2023-01-15,4105.9
2085,Zachary Ferrell,35,Female,Los Angeles,2024-09-18,3737.51
2086,Daniel Baker,36,Male,Philadelphia,2023-02-02,3040.78
2087,Shirley Suarez,37,Male,Jacksonville,2023-01-03,5296.26
2088,Christopher Bass,26,Female,New York,2024-12-29,4653.18
2089,Lisa Archer,53,Female,Jacksonville,2022-04-22,4294.96
2090,Aimee Montoya,58,Female,Los Angeles,2022-09-16,4413.81
2091,Matthew Mcmillan,54,Female,San Diego,2022-01-26,5171.39
2092,Brian Rodriguez,46,Female,Chicago,2024-09-07,4706.83
2093,Denise Jacobs,34,Female,Los Angeles,2022-04-16,7084.58
2094,Christina Walters,43,Female,Los Angeles,2022-05-14,6156.44
2095,John Whitehead,27,Male,San Jose,2022-04-20,8577.66
2096,Anna Henderson,23,Male,Los Angeles,2023-09-15,7116.23
2097,Aaron Wise,56,Male,Dallas,2024-05-02,6414.63
2098,Deborah Figueroa,46,Female,Phoenix,2024-02-19,7419.6
2099,Jessica Smith,37,Male,San Jose,2024-05-28,2382.21
2100,Stephen Mckee,66,Male,Austin,2022-07-23,7417.17
2101,Sandra Aguilar,34,Male,Chicago,2023-03-09,4403.41
2102,Cameron Parker,29,Male,Chicago,2023-05-07,3510.41
2103,Rebecca Valencia,44,Female,Jacksonville,2022-01-06,3643.94
2104,Christine Wright,36,Male,Houston,2024-08-20,4121.98
2105,Richard Henson,63,Female,Jacksonville,2023-08-14,5767.41
2106,Marc Moore,22,Male,Phoenix,2024-07-18,6336.51
2107,Sharon Cherry,45,Male,Dallas,2023-02-10,2713.07
2108,Sierra Johnson,59,Male,Phoenix,2023-04-06,6177.97
2109,Evelyn Galvan,22,Male,Chicago,2022-10-19,8092.03
2110,Sharon Cochran,56,Female,San Diego,2023-09-22,4898.12
2111,Richard Rodriguez,47,Female,Jacksonville,2022-09-12,6035.69
2112,Shannon Walker,35,Female,San Diego,2024-04-04,5061.36
2113,Julia Torres,56,Male,San Antonio,2022-06-14,10230.09
2114,Crystal Johnson,56,Female,New York,2023-10-23,5837.89
2115,Garrett Lin,32,Male,Austin,2022-07-07,5675.91
2116,Diana May,54,Male,Chicago,2023-07-06,5737.12
2117,William Herrera,51,Female,Phoenix,2024-08-21,8429.63
2118,Ashley Waller,55,Female,Austin,2023-01-07,10230.23
2119,Victor Baker,23,Female,Philadelphia,2024-10-04,3267.81
2120,Jeffrey Chandler,39,Female,Austin,2024-04-16,5261.03
2121,Larry Dixon,28,Female,San Antonio,2022-08-03,2993.31
2122,Kenneth Scott,36,Female,Dallas,2024-10-11,6676.46
2123,April Frost,47,Male,Philadelphia,2022-03-17,6379.96
2124,Michelle Harmon,38,Male,San Antonio,2023-06-01,6161.6
2125,Helen Jones,70,Male,Austin,2024-11-19,5139.68
2126,Erin Edwards,44,Male,Houston,2024-08-04,7787.0
2127,Michelle Evans,41,Female,Austin,2024-11-27,8265.22
2128,Jason Powell,66,Male,Houston,2024-06-24,8040.68
2129,Cameron Fisher,53,Male,Phoenix,2023-07-01,2647.17
2130,Megan Orr,62,Female,Los Angeles,2024-06-16,8209.39
2131,Elizabeth Kelley,58,Male,Jacksonville,2022-03-01,7977.54
2132,Dustin Jordan,37,Male,Dallas,2022-11-21,10530.76
2133,Mary Marshall,23,Male,Los Angeles,2024-04-15,6044.83
2134,Daniel Kennedy,25,Male,San Diego,2024-08-03,4707.89
2135,Rebecca Jackson,50,Female,San Antonio,2023-08-21,6166.37
2136,Jose Schultz,48,Male,San Diego,2024-09-15,7459.96
2137,Robert Potter,42,Male,San Jose,2022-10-24,7375.67
2138,Courtney Gonzalez,65,Male,Los Angeles,2024-11-06,4785.17
2139,David Alvarez,67,Female,Philadelphia,2023-07-20,12265.9
2140,Angel Perry,35,Male,Phoenix,2024-11-05,7434.93
2141,Cheyenne Horton,55,Female,Chicago,2023-09-04,8693.67
2142,David Douglas Jr.,52,Female,Philadelphia,2024-07-03,10699.85
2143,Patricia Rodriguez,53,Female,San Diego,2023-11-12,7909.72
2144,Christopher Rubio,30,Male,San Jose,2023-10-22,6093.52
2145,Amber Wright,32,Female,New York,2024-02-24,2706.79
2146,Joyce Solis,65,Female,Jacksonville,2023-10-14,6469.74
2147,Victoria Larson,42,Male,San Diego,2024-02-20,7267.73
2148,Stephanie Salazar,26,Female,Los Angeles,2022-03-17,6651.64
2149,Kathy Rivas,24,Female,New York,2024-06-20,13959.45
2150,Stephanie Manning,44,Male,Los Angeles,2022-10-23,7351.04
2151,David Wright,68,Female,Philadelphia,2024-08-19,9683.92
2152,Pamela Boyd,59,Male,Philadelphia,2024-03-25,5049.01
2153,Denise Jones,42,Female,Austin,2024-12-28,5239.05
2154,Devon Flores,52,Male,San Jose,2024-09-26,5250.73
2155,Brenda Hall,33,Female,Houston,2022-05-21,9795.61
2156,Michelle Brown,45,Male,Austin,2022-07-05,7067.07
2157,Joshua Perry,46,Male,Jacksonville,2022-07-25,10466.0
2158,Jason Stein,19,Male,Philadelphia,2023-09-06,3988.66
2159,Melissa Gates,36,Female,Philadelphia,2022-04-25,7992.79
2160,Jamie Smith,27,Male,Dallas,2024-06-01,7088.94
2161,Paul Castaneda,54,Male,Chicago,2024-04-23,4592.57
2162,Jennifer Adkins,23,Female,San Jose,2022-12-25,8964.24
2163,Lindsey Walker,49,Male,Houston,2023-05-09,6418.79
2164,Jeffrey Johnson,58,Female,San Diego,2024-08-02,3124.39
2165,Michael Powell,60,Male,San Diego,2023-06-07,4828.28
2166,John Anderson,61,Male,Los Angeles,2023-08-13,5207.38
2167,Alyssa Long,40,Female,Austin,2024-06-23,2860.03
2168,Alyssa Day,62,Female,San Diego,2024-05-18,5089.72
2169,Joel Williams,30,Female,San Diego,2023-09-11,5550.02
2170,Daniel Murphy,33,Female,San Jose,2022-08-07,8361.07
2171,Jamie Walton,54,Female,Jacksonville,2024-01-06,8864.25
2172,Darlene Miller,19,Female,Phoenix,2023-08-28,7860.67
2173,Joshua Cooke,54,Male,San Jose,2022-01-17,11163.29
2174,Matthew Harrington,36,Male,San Jose,2024-10-14,3893.03
2175,Nicole Herring,32,Male,San Jose,2023-12-23,5499.59
2176,Alex Hernandez,61,Male,Austin,2023-05-29,4688.92
2177,Michael Elliott,58,Male,Phoenix,2022-07-18,4018.79
2178,Michael Wang,20,Female,Jacksonville,2024-06-21,7259.4
2179,Lawrence Adkins,23,Female,Philadelphia,2022-09-27,4315.96
2180,Robert Oconnell,29,Male,Chicago,2024-04-30,7644.11
2181,Alexander Collins,51,Female,Chicago,2024-01-20,11074.59
2182,Tina Sanders,70,Female,Phoenix,2023-06-11,4950.36
2183,Angela Vaughn,69,Male,San Diego,2023-11-25,6079.04
2184,Ashley Barton,27,Male,Austin,2022-06-04,4442.59
2185,Lindsay Martinez,69,Female,Los Angeles,2024-03-24,6276.9
2186,Dr. Hannah Patterson,18,Female,Dallas,2024-03-19,4065.6
2187,Jonathan Peterson,47,Female,Austin,2022-09-11,5852.02
2188,Samantha Garcia,55,Female,Austin,2023-06-21,6734.0
2189,Madison Poole,24,Male,San Diego,2024-01-31,5522.08
2190,Jessica Gross,57,Female,San Jose,2022-02-21,6444.48
2191,Debra Morton,59,Male,Austin,2023-03-30,6457.29
2192,Karen Graham,62,Female,Austin,2024-08-08,5963.87
2193,Debra Christian,25,Male,New York,2024-04-16,6515.22
2194,Angelica Keith,37,Female,Los Angeles,2022-03-18,4249.55
2195,John Bishop,33,Male,San Antonio,2022-07-19,6013.99
2196,Allen Rosales,41,Female,San Jose,2024-07-18,4152.88
2197,Daniel Salinas,44,Male,San Diego,2022-11-13,2828.36
2198,Spencer Haynes,35,Male,Jacksonville,2024-04-15,1867.21
2199,Adam Vaughan,31,Female,San Diego,2024-01-29,9943.0
2200,Nathan Freeman,41,Male,Austin,2023-04-29,5677.66
2201,Melissa Brewer,52,Female,New York,2024-01-23,8707.94
2202,Ricky Davis II,35,Male,Los Angeles,2024-03-26,3501.99
2203,Elizabeth Perkins,23,Male,Austin,2024-07-20,7102.78
2204,Joseph Coleman,21,Female,Houston,2022-02-13,4293.02
2205,Erin Warner,68,Male,Los Angeles,2022-09-15,5569.49
2206,David Martinez,55,Male,Houston,2023-03-01,5022.7
2207,Bryan Herrera,67,Male,San Jose,2023-11-04,3377.33
2208,Cathy Robinson,35,Male,Chicago,2022-01-06,7169.95
2209,Dr. William Warren,69,Male,Los Angeles,2023-05-29,4188.77
2210,Brian Lee,26,Male,Philadelphia,2022-02-22,8595.88
2211,Christopher Smith,55,Female,New York,2023-05-03,6769.06
2212,Denise Mccann,34,Male,Chicago,2022-12-23,3690.81
2213,Melissa Martinez,51,Male,Jacksonville,2024-05-12,6169.72
2214,Katherine Salas,48,Female,Philadelphia,2022-05-11,4388.02
2215,Julie Alexander,55,Male,San Diego,2024-11-17,7072.54
2216,Anthony Everett,32,Male,Jacksonville,2024-10-28,6523.92
2217,Rodney Morales,37,Female,Austin,2024-12-03,8047.85
2218,Mark Brown,21,Female,San Antonio,2022-03-05,5331.98
2219,Justin Torres,61,Male,San Diego,2024-05-23,8853.25
2220,Bailey Duran DDS,22,Male,Philadelphia,2024-06-27,3004.23
2221,Courtney Mills,22,Male,Phoenix,2022-10-31,3939.13
2222,Jeremy Dalton,42,Female,San Diego,2023-10-28,5278.55
2223,Elizabeth Oliver DDS,56,Female,Los Angeles,2024-11-01,4577.02
2224,Theresa Clark,59,Male,San Antonio,2022-08-23,2700.09
2225,Matthew Moore,32,Female,Philadelphia,2024-07-13,4581.63
2226,Benjamin Smith,43,Female,Jacksonville,2024-07-17,5361.35
2227,Kirk Carter,38,Female,Philadelphia,2022-07-14,4637.15
2228,Michael Warner,41,Male,Austin,2023-06-07,8200.6
2229,Michael Bradshaw,22,Male,Los Angeles,2024-08-29,8750.28
2230,Lori Guerrero,45,Male,Jacksonville,2022-07-10,9162.97
2231,Jessica Stephens,69,Male,Dallas,2024-02-03,9889.19
2232,Susan Serrano,55,Female,Austin,2022-05-03,7639.37
2233,Christopher Parker,44,Female,Austin,2022-09-08,10785.28
2234,Laura Roberts,64,Male,Phoenix,2024-05-16,8494.7
2235,Michael Lyons,40,Male,San Jose,2023-10-02,6940.33
2236,Kathryn Snyder,31,Male,Austin,2024-11-05,8101.62
2237,Andrew Reynolds,32,Male,Philadelphia,2024-09-14,5928.51
2238,David Davis,25,Female,San Jose,2024-01-23,9972.44
2239,Sara Johnston,69,Female,Dallas,2023-04-09,10303.09
2240,Yvonne Chambers,56,Female,New York,2022-02-23,3829.91
2241,Andrew Avila,35,Female,Philadelphia,2023-01-05,7259.87
2242,Matthew Moon,18,Male,Chicago,2023-12-20,6958.8
2243,Kevin Walters,22,Male,Jacksonville,2024-03-31,6559.13
2244,Brandon Bailey MD,23,Male,San Antonio,2022-03-04,5714.8
2245,Shannon Rivera,47,Female,Chicago,2024-05-09,7041.43
2246,Donna Landry,37,Female,San Jose,2024-01-28,3001.43
2247,Krista Gibson,21,Male,Chicago,2022-06-23,2590.43
2248,Frank Cordova,61,Male,Phoenix,2022-04-12,10925.12
2249,Jose Travis,60,Female,San Diego,2024-06-26,4469.18
2250,Kimberly Gutierrez,44,Female,Houston,2024-06-24,9232.84
2251,Isaiah Avila,25,Female,San Antonio,2024-11-15,4662.88
2252,Olivia Harris,36,Female,Dallas,2022-08-16,7498.71
2253,Tanya Kim,20,Male,San Antonio,2023-09-24,7136.74
2254,Barbara Dudley,18,Male,Phoenix,2022-04-23,5772.21
2255,Cynthia Moore,67,Male,Phoenix,2023-03-09,3713.29
2256,Kristen Davis,38,Male,New York,2023-08-16,8847.78
2257,Susan Murray MD,65,Female,Chicago,2024-10-15,4020.11
2258,Kathleen Moran,42,Male,Dallas,2022-09-22,7016.98
2259,Denise Davenport,22,Female,Jacksonville,2023-12-27,7415.63
2260,Mrs. Kristen Reyes,45,Male,San Diego,2022-03-28,7398.03
2261,Katie Suarez,38,Female,San Jose,2022-06-09,2176.57
2262,Desiree Tyler,63,Female,Phoenix,2024-04-08,8011.09
2263,Timothy Romero,43,Male,Philadelphia,2022-08-24,7914.94
2264,Diane Evans,69,Female,Jacksonville,2022-12-18,5275.16
2265,Yvonne Burns,23,Female,Los Angeles,2024-01-12,4902.35
2266,Joshua Reed,45,Female,Dallas,2023-05-14,5407.78
2267,Kimberly Gibson,43,Female,Jacksonville,2022-06-11,4675.33
2268,Colin Terry,32,Female,Chicago,2023-11-27,3921.67
2269,Cynthia Rowe,50,Male,Dallas,2022-06-06,6893.71
2270,Patrick Thornton,30,Female,Philadelphia,2024-11-10,5804.84
2271,Jasmin Alvarado,33,Male,Chicago,2022-10-30,5051.71
2272,Veronica Simpson,30,Male,San Jose,2023-06-09,7112.41
2273,Jonathan Lawrence,66,Male,Chicago,2022-11-10,5957.69
2274,Shelly Alexander,47,Female,Austin,2024-10-08,2398.3
2275,Joyce Bowen,58,Female,Chicago,2023-10-24,8091.06
2276,Matthew Moore,22,Female,San Diego,2024-06-19,4444.11
2277,Wayne Morgan,68,Female,San Jose,2023-09-13,6019.08
2278,Marie Christian,40,Male,Phoenix,2022-04-26,4064.86
2279,Shannon James,46,Male,New York,2024-08-03,6060.09
2280,Nathan Malone,36,Male,Austin,2024-01-26,3910.2
2281,Amanda Jones,57,Female,San Diego,2022-07-04,5777.02
2282,Tammie Bright,46,Male,Philadelphia,2022-03-26,9315.65
2283,Jessica Garcia,50,Male,New York,2024-09-01,6113.65
2284,Shelia Wallace,24,Female,Jacksonville,2024-07-11,3059.23
2285,Stephanie Williams,50,Male,New York,2022-06-22,2462.46
2286,Elaine Brooks,63,Female,San Diego,2023-05-23,5224.0
2287,Joseph Knight,51,Male,Philadelphia,2024-12-09,9864.57
2288,Carolyn Miller,36,Female,San Antonio,2024-02-03,9695.88
2289,Lisa Allen,61,Male,Austin,2023-11-24,3774.59
2290,Briana Murray,22,Female,Los Angeles,2023-11-17,5429.17
2291,David Smith,36,Female,Jacksonville,2024-03-02,8381.31
2292,Stephanie Byrd,39,Male,San Jose,2022-11-04,6502.19
2293,Jeremy Reed,40,Female,Austin,2022-10-17,10683.73
2294,Margaret Coleman,26,Male,Phoenix,2024-03-13,5732.33
2295,Ryan Gonzalez,59,Female,Chicago,2024-02-11,2412.81
2296,John Young,23,Female,Dallas,2024-12-14,8038.11
2297,Laura Haney,19,Female,Phoenix,2024-01-12,1926.23
2298,William Barrett,31,Female,San Diego,2023-01-05,5124.95
2299,Keith Jennings,32,Male,Chicago,2023-01-29,2538.3
2300,Amber Obrien,36,Male,Dallas,2022-06-08,2557.18
2301,Tanner Mitchell DDS,20,Female,San Jose,2024-12-14,6236.07
2302,Heather Fields,56,Female,Chicago,2022-09-26,3238.4
2303,Megan Le,29,Male,Jacksonville,2022-11-29,6882.73
2304,Sara Fuller,20,Female,Philadelphia,2024-06-15,8146.38
2305,Maria Parker,46,Female,Jacksonville,2023-05-02,6833.24
2306,Kevin Oconnor,32,Male,Phoenix,2024-07-08,7793.21
2307,Edward Burgess,30,Female,Austin,2024-08-18,5277.8
2308,Carlos Ryan,47,Female,San Antonio,2024-06-21,7308.6
2309,Kiara Mcintyre,51,Female,Chicago,2024-10-26,6337.0
2310,Dawn Summers,69,Male,Phoenix,2023-02-13,6906.01
2311,Dr. Paul Morgan,59,Female,Philadelphia,2022-04-17,5489.94
2312,Victor Taylor,63,Male,Phoenix,2022-07-30,4747.85
2313,Shannon Ramsey,66,Male,Phoenix,2022-06-21,4171.42
2314,Tracy Ballard,50,Male,San Antonio,2024-07-09,3966.25
2315,Richard Smith,32,Female,Philadelphia,2022-07-07,4686.31
2316,Jordan Chambers,44,Male,San Antonio,2022-02-24,2385.9
2317,Lauren Carson,41,Male,San Antonio,2024-10-25,3648.54
2318,Ashley Hall,41,Male,New York,2022-06-17,6645.23
2319,Stephen Hoffman,24,Female,Chicago,2023-10-15,4792.71
2320,Connie Brown,20,Female,San Diego,2022-10-09,6299.33
2321,Susan Turner,66,Female,San Diego,2022-10-12,6773.95
2322,Charles Shah,23,Male,Phoenix,2022-01-11,7716.94
2323,Johnathan Davis,27,Female,Los Angeles,2023-03-18,5745.58
2324,Brandy Chavez,33,Female,Los Angeles,2023-08-14,2338.06
2325,Natalie Bautista,33,Female,Austin,2022-04-08,5035.64
2326,Patrick Moore,22,Male,San Diego,2024-07-25,5969.3
2327,Brett Burns,58,Male,Jacksonville,2022-02-03,4379.56
2328,Trevor Johnson,36,Female,New York,2022-10-22,7342.76
2329,Jeremy Sampson,33,Female,Chicago,2023-12-24,2434.99
2330,Ariana Jennings,51,Female,Los Angeles,2022-06-25,6303.58
2331,Vanessa Howard,52,Male,San Antonio,2024-12-13,7570.35
2332,Colton Martinez,20,Female,Philadelphia,2024-08-20,7826.68
2333,Jordan Bates,65,Male,Philadelphia,2023-06-04,5295.32
2334,Linda Smith,40,Male,Jacksonville,2022-05-19,9126.35
2335,Dana Martinez,67,Female,Chicago,2022-08-01,6320.09
2336,Andrea Hubbard,40,Female,Austin,2022-04-01,11659.52
2337,Daniel Kane,67,Female,Jacksonville,2022-12-25,4392.12
2338,Charles Lester,58,Male,Chicago,2024-09-07,4896.56
2339,Scott Thomas,63,Female,New York,2022-05-10,5153.04
2340,David Thompson,30,Male,Houston,2023-08-24,4199.42
2341,Allison Smith,38,Female,Dallas,2022-03-27,5179.82
2342,Cynthia Morris,70,Female,Phoenix,2024-03-26,6463.36
2343,Anthony Harmon,66,Male,Phoenix,2022-03-16,7766.91
2344,Nichole Alvarez,67,Male,Austin,2024-01-02,4254.18
2345,Kayla Rodriguez,35,Male,Philadelphia,2023-11-11,8537.1
2346,Theresa Williams,43,Female,San Antonio,2024-06-13,6065.36
2347,Sharon Boyd,29,Female,Jacksonville,2023-11-26,4374.94
2348,Victor Brown,41,Female,Los Angeles,2024-10-15,5857.13
2349,James Parks,23,Female,San Jose,2024-05-19,4662.09
2350,Theodore Jones Jr.,52,Female,Philadelphia,2023-01-05,7341.09
2351,Ana Hill,23,Female,Austin,2022-07-30,5173.71
2352,Kimberly Nguyen,37,Female,San Jose,2023-08-29,7309.45
2353,Kerry Chavez DDS,28,Female,Philadelphia,2024-05-22,3944.84
2354,Michael Farrell,20,Female,San Jose,2024-07-04,3729.6
2355,Patricia Le,35,Male,Los Angeles,2024-06-09,5690.72
2356,Jesse Perez,41,Male,New York,2024-04-11,3089.29
2357,Jesse Perry,56,Female,New York,2022-10-20,5443.65
2358,Jeffery Ortega,22,Male,Austin,2022-09-16,3486.33
2359,Christian Leblanc,41,Female,San Jose,2024-01-21,9070.59
2360,Ronald Davis,56,Male,Austin,2022-03-08,5529.17
2361,Parker Cain,41,Female,San Diego,2024-07-10,4592.58
2362,Laurie Hoffman,54,Male,Dallas,2022-06-07,7905.41
2363,Bryan Gomez,43,Female,Austin,2024-01-22,3794.37
2364,Nicole Parrish,33,Male,New York,2023-07-25,6048.98
2365,Tracy Burke,49,Female,Dallas,2023-01-17,10415.99
2366,Kenneth Lewis,34,Female,Jacksonville,2022-08-30,3949.02
2367,Courtney Rodriguez,31,Female,Jacksonville,2024-07-02,4845.7
2368,Holly Farmer,30,Male,Chicago,2024-10-02,4280.61
2369,Renee Bruce,46,Male,Jacksonville,2022-06-01,4357.66
2370,Sabrina Austin,23,Female,Austin,2024-06-30,3873.48
2371,Allison Hickman,63,Male,Dallas,2023-12-13,4193.94
2372,Debra White,37,Male,Jacksonville,2023-08-18,6596.33
2373,Ellen Morgan,68,Female,Dallas,2022-12-23,6617.62
2374,Sergio Knight,25,Male,Chicago,2023-04-05,5270.58
2375,Charles Schultz,68,Female,New York,2023-04-30,5812.54
2376,Paul Lewis,53,Female,San Diego,2024-01-10,3723.7
2377,Glen Wood,57,Male,Los Angeles,2022-09-23,7205.85
2378,Paula Bradley,43,Female,Dallas,2023-09-26,14082.09
2379,Anthony Moore,67,Female,San Jose,2024-04-21,6534.6
2380,Megan Nelson,26,Female,Austin,2022-06-01,8352.6
2381,Karla Ramos,46,Female,Austin,2022-06-01,6058.28
2382,Paul Wilson,40,Male,Dallas,2024-11-25,5165.98
2383,Douglas Gregory,67,Male,San Antonio,2023-01-08,7375.05
2384,Mr. Andrew Foster,21,Male,Dallas,2024-10-26,7017.94
2385,Aimee Turner,37,Male,Chicago,2022-11-10,5493.37
2386,Chad Scott,63,Male,Philadelphia,2023-10-23,3151.47
2387,Adam Burgess,36,Male,Phoenix,2024-11-28,7655.32
2388,James Padilla,58,Female,Chicago,2023-02-07,5956.97
2389,Sandra Drake,57,Male,Dallas,2023-09-13,6031.45
2390,Scott Williams,55,Male,Chicago,2022-12-12,7140.8
2391,Thomas Atkins,54,Male,New York,2023-11-23,6404.78
2392,Laura Mckinney,20,Female,Austin,2022-06-16,6252.04
2393,Brian Smith,67,Female,San Jose,2023-03-08,7520.77
2394,Robert Montgomery,49,Female,Austin,2022-03-04,8808.41
2395,Tamara Davis,48,Male,Austin,2023-09-11,3671.3
2396,Dana Chapman,37,Female,Los Angeles,2024-04-11,3171.43
2397,Jennifer Collins,28,Female,San Antonio,2022-05-03,6197.6
2398,Gary Jackson,47,Male,Philadelphia,2024-09-18,4888.85
2399,Ashley Hicks,38,Female,Jacksonville,2022-10-22,6658.79
2400,Hannah Luna,43,Male,Philadelphia,2023-12-09,9865.52
2401,Robin Young,53,Male,Philadelphia,2024-11-20,7082.59
2402,Craig Morrison,47,Male,Phoenix,2023-05-11,5306.93
2403,Mary Thompson,33,Male,Los Angeles,2024-07-09,2976.47
2404,Kathleen Webster,36,Female,San Jose,2022-04-14,5565.48
2405,Joann Glass,33,Male,Philadelphia,2024-05-06,8524.94
2406,Madison Weber,30,Male,San Diego,2023-10-03,7385.17
2407,Lori Hernandez,47,Female,Phoenix,2024-11-20,6494.18
2408,Jeremy Turner,19,Male,San Antonio,2024-10-15,6620.01
2409,Anthony Romero,47,Male,Houston,2024-11-01,2938.49
2410,Jesse Brown,21,Male,Phoenix,2023-12-24,4193.4
2411,Angela Lin,56,Female,Phoenix,2024-10-10,6847.47
